Date-Time,Title,Description
"December 18, 2023 09:41 AM IST",Landmark Cars zooms 8% on South India foray with Mercedes-Benz workshop,"Landmark is involved in dealership for premium and luxury cars such as Mercedes-Benz, Jeep, Honda, Volkswagen, Renault, and Morris Garage"
"December 18, 2023 09:42 AM IST",Zydus Life hits 52-week high after USFDA gives nod for Lacosamide Tablets,"The product will be manufactured at the group’s formulation manufacturing facility in Moraiya, Ahmedabad (India)."
"December 18, 2023 09:41 AM IST","Welspun arm plans Rs 807-cr manufacturing unit in Telangana, stock trades down",The project will be funded through a combination of debt and equity.
"December 18, 2023 09:41 AM IST","Marry Now, Pay Later? Why wedding loans are not a match made in heaven","While taking out a wedding loan or participating in a ‘Marry now, pay later’ scheme, borrowers must understand key terms such as interest rate, loan amount, and repayment schedule. You should borrow only to pay for the basic expenses and not to fund the showbiz part of the Big Fat Indian Wedding."
"December 18, 2023 09:33 AM IST",Tata Power gains after green energy arm bags NTPC contract for Rajasthan project,TPSSL’s Solar Cell and Module Manufacturing plant in Bengaluru will supply 152 MWp DCR Solar PV Modules for this project.
"December 18, 2023 12:11 PM IST",The daily expiry: Profiting from volatility is done & dusted,"High volatility and inflated option premiums during the post-pandemic era presented good opportunities for day traders, particularly for vanilla strategies like straddles and strangles. Things are different now"
"December 18, 2023 09:30 AM IST",Cut off transmission access to discoms defaulting on payments to gencos: Govt,"Data from the Ministry of Power showed that all current payments of gencos are up-to-date and the legacy dues of gencos have come down by 63 percent from Rs. 1.396 lakh crore to Rs. 51,268 crore in just over a year since the late payment surcharge rules were notified."
"December 18, 2023 09:31 AM IST",United Spirits shares shed 2% on Rs 365-cr claim from customer,The company  said it is not in a position to determine the financial implication of this claim at this point
"December 18, 2023 09:21 AM IST",The Eastern Window: China’s stimulus move not enough to revive investor sentiment,China has taken some major steps like infusing massive funds in banks to kick-start the sluggish economy. But analysts say it may not be enough to encourage new investment
"December 18, 2023 09:17 AM IST",Rupee trades in green at 82.98 a dollar on sustained flow of foreign funds,A close watch on RBI on it buying dollars from the supplies will indicate its intentions to allow further appreciation.
"December 18, 2023 09:13 AM IST",Edelweiss plans to sell up to 20% stake in subsidiary Edelweiss Alternative Asset Management,"The company is looking to raise Rs 1,500-2,000 crore through the sale and will use the funds to pare debt and establish the market value of the business"
"December 18, 2023 10:34 AM IST",MC Pro New Year Portfolio: 17 stocks for a rewarding 2024,"These stocks have been picked from a variety of sectors. Ami Organics, Bharat Dynamics, GAIL and SBI are some of them"
"December 18, 2023 10:05 AM IST","Moneycontrol Pro Market Outlook | Fed gives the market a high, hangover may persist","Besides the Fed commentary, Indian markets also received some boost from the RBI as it revised the country’s growth rate higher. Falling bond yields and crude prices added to the bullish sentiment"
"December 18, 2023 09:05 AM IST","Don't take central bank pivots for granted, say flash PMIs","The US Flash Composite PMI for December is at a 5-month high, putting it at odds with Powell’s recent ultra-dovish message"
"December 18, 2023 09:01 AM IST",Can exports break gridlock to push India into Goldilocks zone?,A well-crafted strategy and improving world trade next year can be a double delight for India’s outbound merchandise shipments
"December 18, 2023 10:03 AM IST","Bank of India, Union Bank other PSU bank stocks fall after govt clarifies on merger speculation","Amid the merger buzz, Bank of Maharashtra shares fell 1.3 percent to Rs 47, Union Bank of India tanked nearly 4 percent to Rs 123 per share and Bank of India stock slipped 0.8 percent to Rs 111"
"December 18, 2023 08:37 AM IST",Indian pharma's growth expectations are trending downwards,The market grew by just 3.5 percent in November 2023. Lower price hikes and competition from generics are the main obstacles to higher growth
"December 18, 2023 08:36 AM IST",Motorcycle icon Royal Enfield faces fresh challenge from Harley in India’s biker paradise,"Rather than a Royal Enfield favored by her father and several million other riders in India, Sandhu opted for a slick roadster from UK-based Triumph."
"December 18, 2023 11:50 AM IST","Sugar stocks get sweeter, surge up to 8% as India reverses ban on sugarcane juice to make ethanol",The food ministry has issued a fresh order reversing the ban on the use of sugarcane juice for making ethanol.
"December 18, 2023 02:23 PM IST","Younger population, digital products, urbanisation to drive India's gold demand: World Gold Council","While financial inclusion has yielded positive results for the country’s prosperity, the WGC said it has created challenges for the gold market."
"December 18, 2023 09:08 AM IST","Daily Voice | We may see a rise in divestment targets after elections, Ladderup MD lists 2 reasons","In short term, markets may enter a phase of consolidation but in the longer run if the Indian economy continues to show resilience and corporate profitability stays strong, the market will definitely see newer highs, says Raghvendra Nath."
"December 18, 2023 07:55 AM IST","World Street | War shadow on Suez shipping, EV tycoon's oil backing, Russia's crude threat, Germany in red for green","From the supply chain disruption due to militancy in the Suez Canal to Elon Musk's support for crude oil and UBS dilemma over inflation, here's a look at some interesting developments from the world of business and economy"
